customer_id,monthly_income,income_variance,bill_payment_delay_avg,missed_payments_6m,spending_ratio,savings_rate,employment_duration_months,account_age_months,risk_score,risk_band,financial_resilience_score,payment_discipline_score,income_stability_index
82b089d8aa4efc08dbc5bab5293189ac6e962c23ad6edb4b9280dcb0019b364d,30000-40000,0.198,9.48,2,0.0,0.4,217,0-60,0.17,Low,48.2,32.599999999999994,80.2
699f8d41079f35b6bc46555d406ae7750871a53f8a298b9ded52efb6ae752301,20000-30000,0.284,2.58,0,1.0,0.0,56,0-60,0.2,Low,18.2,87.1,71.6
9853ed2f6fb7ee979d9b29de0da96aeed40d0006a2b5ba0ed50d7f63528b7f86,10000-20000,0.083,0.67,2,1.0,0.0,296,60-120,0.22,Low,9.599999999999998,76.65,91.7
85b31c4d536fa203df8e2751644ccc86da56b614bbc8dcd3e90a0c841bc98c7b,40000-50000,0.268,2.32,0,1.0,0.37,205,120-180,0.0,Low,50.5,88.4,73.2
0fe8106d1e35aaa970328bfb081ed424134ff1d4237ac1789d6a4cdc973786be,20000-30000,0.208,3.46,2,1.0,0.0,290,120-180,0.26,Low,10.8,62.7,79.2
a3a63f67a808147fbe06718d2bb118eead7d6e44dbdc3a816867213af518f808,30000-40000,0.255,0.26,1,1.0,0.22,47,120-180,0.16,Low,34.8,88.7,74.5
7c0fc7c184225d7ceeecac0887e8dbc20cc93a44065d7b0304ce825dcfbaaf9b,10000-20000,0.109,0.82,1,1.0,0.4,200,120-180,0.0,Low,50.4,85.9,89.1
66db0f24660b524167abd4ecd2ab7f6cec20fe119dee4ca63248da9e55076513,20000-30000,0.308,5.82,1,1.0,0.07,218,180-240,0.18,Low,23.700000000000003,60.900000000000006,69.19999999999999
9c07923416492f42e2b2da940415e7ccbba4f22421300c9defbe22e5bf62f0e1,30000-40000,0.352,2.31,1,1.0,0.19,186,120-180,0.11,Low,30.6,78.45,64.8
d5f59bf98ac0559de242ed99473299ed0b6a0e3ba98969ce8b75608e5d10c291,10000-20000,0.126,2.08,1,1.0,0.0,29,60-120,0.35,Medium,13.299999999999995,79.6,87.4
0076d54f7390a3b394d2780dc83c8a988330e38f739e394d57691debb51c86bf,30000-40000,0.084,1.37,0,1.0,0.4,168,120-180,0.0,Low,54.7,93.15,91.6
a7194f297d903d77c10628df35a8db44196029d121a8b46baf5ca1f10fb67cb3,20000-30000,0.058,0.1,0,1.0,0.2,276,180-240,0.0,Low,34.8,99.5,94.2
f213fc7a64e96ddc54d9ad815506c37925f0c5fa668db96f5cc3b6a90699240f,20000-30000,0.275,0.61,1,0.0,0.4,105,180-240,0.0,Low,55.8,86.95,72.5
62ac4cad7275485b494e0e767022373ee9b4faf670736d608a78369c287e60ac,20000-30000,0.262,1.95,2,0.0,0.4,106,60-120,0.14,Low,50.3,70.25,73.8
02c69b71ce10f6d0bb098ba523f296450d4c12f8704a7e2cd9ac6adb152f884f,40000-50000,0.241,0.75,0,0.0,0.4,247,120-180,0.0,Low,61.0,96.25,75.9
34bd5453d721ff4c6fe146ae1a61a42bd97c594bf9cbc3733dab05527395c774,20000-30000,0.131,0.14,0,1.0,0.0,171,180-240,0.08,Low,16.999999999999996,99.3,86.9
330f4b56cfb18ed845caae992d27026ccbfede2e8c2022cee4997515c9748774,20000-30000,0.187,5.44,1,1.0,0.02,118,0-60,0.29,Low,18.8,62.8,81.3
8092048e4e0a5d2cddb2558caab3065ff41e4622ef192768558c23af4e2347f6,30000-40000,0.258,13.07,2,1.0,0.21,143,180-240,0.44,Medium,24.6,14.650000000000006,74.2
262337d2837c96290ebccec9e4128e867b13cf88f30bc5adbab3ab6f3f49c8d9,10000-20000,0.224,4.92,0,1.0,0.17,127,120-180,0.06,Low,37.2,75.4,77.60000000000001
c6a37fe9baa092ff95cfd5fff9c54cde84e7cac2664ad683910916920e6e39fc,30000-40000,0.396,7.65,2,1.0,0.4,27,60-120,0.32,Low,45.8,41.75,60.4
4668468fdfc44ae762b47e83833dc3ac03d7da24dc9f302af8f8d5022580369f,10000-20000,0.098,0.69,0,0.0,0.4,196,180-240,0.0,Low,57.400000000000006,96.55,90.2
6c98a7d56b0407f41a385027787e3cd5992727d9673425f57f35c6ca05f23c8e,10000-20000,0.293,11.21,2,1.0,0.4,102,0-60,0.31,Low,46.1,23.95,70.7
9231b237ca0311fe76897075fc306ad585687e68f11e764e0ab86d6bb88315b4,30000-40000,0.192,0.65,1,1.0,0.39,7,120-180,0.13,Low,47.5,86.75,80.80000000000001
cb79ee859982065f23fb85c81dea15c1e2da02aff2a96815044cc6eaa67d2fe0,30000-40000,0.2,9.07,2,1.0,0.09,21,0-60,0.51,Medium,19.2,34.65,80.0
b83551f678284f5c513ddad9c05dba2876b2b0a036ddce4916eaa075bafc2e75,30000-40000,0.301,18.45,5,1.0,0.29,172,0-60,0.79,High,22.6,0.0,69.9
c0d6bcdc8dc83d1bd3bcefa0ba6532440e18ef79a9ec980dbd10c71d687fe6c5,20000-30000,0.292,4.31,0,0.0,0.4,276,180-240,0.0,Low,59.2,78.45,70.8
f9890fa411bd88cc2e964a3877192d376b30598141ee86592d9ee750601776ba,20000-30000,0.397,15.82,3,0.0,0.4,256,60-120,0.33,Low,48.7,0.0,60.3
e470f8be32a213e25cca297ba11ac2c8b15b1a1644f44d9de8fafc6531d00b14,10000-20000,0.095,2.09,0,0.0,0.4,123,120-180,0.0,Low,58.6,89.55,90.5
f95b274c8ec91e49ab6bb49e82f509ea66332372926f6ab559df30e1122d3586,20000-30000,0.086,0.73,2,1.0,0.38,34,0-60,0.23,Low,42.1,76.35,91.4
0531a4d2d6117b86d7d7e776f0e6f3d5864df6952c767791b9f37e43c98dd07c,20000-30000,0.304,2.02,1,1.0,0.0,151,60-120,0.23,Low,14.499999999999998,79.9,69.6
b391c43c26f543a942303adf71a2d3c7b2dbc89c36447756915a4cf080b81f70,30000-40000,0.252,2.94,0,1.0,0.22,268,60-120,0.0,Low,36.7,85.3,74.8
9834075aa6af0ae66eb427b5060d04e2cc2d1b1c1bbebcdbf1954d853e46b13c,30000-40000,0.146,0.21,1,1.0,0.15,39,180-240,0.23,Low,25.3,88.95,85.39999999999999
7465e05d69784b0f1ac739de1b13115c4c0061d0f34624e7a65d1a2380e85a9b,10000-20000,0.078,2.33,1,1.0,0.22,179,0-60,0.07,Low,36.9,78.35,92.2
ce7f671ff0c96fdef3588e7e41723e6d23f24ba7591c72d8ae7654c093f10034,30000-40000,0.08,9.53,1,1.0,0.4,15,60-120,0.25,Low,48.3,42.35,92.0
05f57c93767baab408e42727c474f4533df233c9e1cda88a181e1dad91818bfa,20000-30000,0.363,0.8,1,0.0,0.4,185,60-120,0.0,Low,54.3,86.0,63.7
d8cdeff770cd783d63b1052ae414292954eaee55b9949bcf6147fbb78be87724,20000-30000,0.117,4.07,4,1.0,0.0,147,120-180,0.62,Medium,5.0,39.650000000000006,88.3
9540dbbad9e896ac958a101937bfe94944cf18c2279cc0fd5164f3190c51467f,30000-40000,0.163,6.72,2,1.0,0.0,267,0-60,0.3,Low,14.099999999999998,46.400000000000006,83.7
fcc39b06f1b74a1d01bd69ac4ad6a10ce58f74f865ee5acaab9cef2fd5dd5eb3,30000-40000,0.129,7.61,2,0.0,0.4,90,180-240,0.25,Low,49.1,41.95,87.1
1f55bfe9f4aba8169cc4f5eef3c8ea6ac05e16f1622275ce569d29a1f284560e,30000-40000,0.174,9.25,1,1.0,0.31,48,180-240,0.27,Low,40.2,43.75,82.60000000000001
81016ada5790fc55d0cacd792f2816581d3458bfa1ebd9703816920d1c49f7eb,20000-30000,0.074,1.75,0,1.0,0.32,121,180-240,0.0,Low,45.3,91.25,92.6
0276414b66ab705809efb36a14e57e9b049440c52e712ad87b6a710ededa8c1d,20000-30000,0.232,11.96,2,1.0,0.23,21,180-240,0.49,Medium,29.5,20.2,76.8
c9bf3c7af77577e70d5d1729abdde4059042cc19f1b582d86131007e913b9513,30000-40000,0.074,3.35,2,1.0,0.0,222,0-60,0.32,Low,10.2,63.25,92.6
f8981c47040ef59f258c03b32bcae948911fa309649e0867d36be6e60434cf3c,30000-40000,0.33,0.64,3,1.0,0.25,235,180-240,0.25,Low,27.7,66.8,67.0
3c36555143527f5751f577eee6de0529740dd99b7c71fe520daebff760fdde20,20000-30000,0.132,1.72,1,1.0,0.22,96,180-240,0.15,Low,35.1,81.4,86.8
84a50c6b163ff6065257efebb62e2764d57e46ae96a3d587124eb587031db9c7,20000-30000,0.239,4.05,1,0.0,0.4,253,180-240,0.0,Low,55.8,69.75,76.1
c8f58e6a27ef8844a7e530119b9edfae9908b5ac2de69ed1093083b72a9e794a,20000-30000,0.358,1.08,2,0.0,0.4,252,0-60,0.0,Low,51.5,74.6,64.2
dd61fc14c1db77f66d8f71ec065293f8735f90faab83f2018aa00a6669d17867,10000-20000,0.278,3.47,0,0.0,0.4,284,60-120,0.0,Low,56.5,82.65,72.2
593175cf664b3d2de9e7fe9b9efc55edfd039df5ec9dc61d3d6153a42305b240,30000-40000,0.237,3.5,1,0.0,0.4,234,180-240,0.0,Low,56.1,72.5,76.3
3a5db3a4b331433f6736d17ec109e787015b587f6eb622ec6ed7392d76c0984a,40000-50000,0.164,0.5,1,1.0,0.02,48,120-180,0.26,Low,20.3,87.5,83.6
fa2caa3f42eb1ff10a2231e408861296feb13ccf0dc9124a447d2141e1e66489,20000-30000,0.167,2.36,0,1.0,0.11,48,180-240,0.14,Low,29.1,88.2,83.3
2642bb9c8eff963949f5f6a90d46b492358e70a2ceb0544d554965abf155b09e,30000-40000,0.284,5.05,4,0.0,0.4,16,60-120,0.5,Medium,41.7,34.75,71.6
f2ccc47ddd7b1a314ce8f55c6c0ee59cae2a22aed7c6868192881a95e639cc3f,30000-40000,0.398,2.76,1,1.0,0.12,87,0-60,0.25,Low,22.9,76.2,60.2
b08ed795156ddfffb0c28dc95e469d71833eb5c1dfc522b42b2dc92336dc9fa2,20000-30000,0.282,0.04,1,0.0,0.4,5,60-120,0.08,Low,53.400000000000006,89.8,71.8
1cad9d29e26210ad3ef8b389552d8fe6f8baadafe4553d81ab1da0336f9aa2ee,30000-40000,0.245,0.03,1,1.0,0.4,30,120-180,0.08,Low,49.8,89.85,75.5
cae8eee05a6dd4681d90c508ebb6d881cac5a10f663cff0159cf25f9bfb3414d,40000-50000,0.306,1.56,0,0.0,0.4,159,180-240,0.0,Low,55.0,92.2,69.39999999999999
c00f4cdf61ea4095d92abbdf770d337ffc22a1599d205a9d8ec02ea88e634dc2,20000-30000,0.213,7.99,2,1.0,0.4,177,60-120,0.21,Low,44.0,40.05,78.7
1b510250ab294f728271786e467e2ba6745d16be36c13d0623f610143e86b485,40000-50000,0.071,0.61,1,0.0,0.4,116,180-240,0.01,Low,51.0,86.95,92.9
c2299b744336007fbbf0d73eee79577657b3595b69959e5666713329084f4edc,10000-20000,0.247,3.25,2,1.0,0.22,252,0-60,0.15,Low,32.3,63.75,75.3
ae70c12c303ad07416d43a92c3d448bd38052be2fe1d21d16333b42d03075cf5,30000-40000,0.385,0.99,0,1.0,0.39,61,180-240,0.0,Low,50.6,95.05,61.5
fec9323d992589a01f01474f55dd794b826457235759bf42a74771dc99bde3f0,30000-40000,0.111,0.99,0,1.0,0.0,205,60-120,0.06,Low,17.299999999999997,95.05,88.9
1b72bca8d830932de609fef07f99b90913e35c9f1e2c82b40082509c39e8a79a,20000-30000,0.292,6.51,3,0.0,0.4,241,120-180,0.21,Low,47.8,37.45,70.8
21bf60905c0b02199d6752742cdd99b2bbc3cddcc6c5c39dd00a7dc269b7db92,30000-40000,0.12,3.4,1,0.0,0.4,236,180-240,0.0,Low,53.7,73.0,88.0
fedbde1f39a76f2810b2ced4286eae10c7e7a0f01241d5534a8363a7c65a93f5,10000-20000,0.238,0.32,1,0.0,0.4,97,0-60,0.0,Low,55.8,88.4,76.2
91cb0d1ea451513c2e04ab76178ded3d5fdf9330eaadcf9f5c1cab93d607984a,20000-30000,0.084,1.35,0,1.0,0.11,143,120-180,0.03,Low,31.5,93.25,91.6
6f63cfbbc5130613a646acd27a35002dd656449b40cb4091f329a891054199d4,30000-40000,0.208,0.09,1,0.0,0.4,115,120-180,0.0,Low,55.8,89.55,79.2
5c0a4db7e1a075f84845ea2af3b5e360c116e701516a5e8cc55fdb9a336f47dd,40000-50000,0.315,2.34,0,1.0,0.06,111,60-120,0.12,Low,23.9,88.3,68.5
bf84bf18ec4ed7174361964dc673225fe40da718f3baac0b68dd2f56c1805ffd,20000-30000,0.172,3.1,0,1.0,0.24,291,0-60,0.0,Low,40.7,84.5,82.80000000000001
204ec212aadce2388f416202b1ba283da5ba08527e774cc2813802b9d6a11b14,20000-30000,0.283,0.43,0,1.0,0.21,99,60-120,0.01,Low,38.9,97.85,71.7
5e4bf74e39207b7f3a3670225ad5d30879a8ad916c17f0fad6a53b7ce5855274,20000-30000,0.328,1.24,1,1.0,0.34,18,0-60,0.17,Low,40.5,83.8,67.19999999999999
a6b224f6ec882a157bb29e3d3db0275b8ed0907141af80cc00969fb8573232b2,30000-40000,0.375,1.96,1,0.0,0.4,46,60-120,0.08,Low,52.8,80.2,62.5
a7c0d972e68536baeb0cdc2b545ba07d4fe477dd1eddede9033ed3994a13f348,30000-40000,0.132,6.7,1,0.0,0.4,232,120-180,0.0,Low,52.2,56.5,86.8
916a8abe6990472e51eca5c47632c54e870c8dd559ba8b9ad9ad4592ab6250e4,20000-30000,0.19,14.74,4,1.0,0.4,110,60-120,0.6,Medium,37.2,0.0,81.0
16edfebaa6c89b599592ff5d4694e39e246f67fa4a0015c9ee63347e04d0d16b,30000-40000,0.103,0.12,2,1.0,0.29,219,180-240,0.13,Low,33.4,79.4,89.7
54e6c77042501d5bc1430499e9a7d67cee6832b7dd58bfef12f3bb2524122b1a,30000-40000,0.397,5.71,2,0.0,0.4,262,0-60,0.08,Low,47.9,51.45,60.3
7ada3b266d9359d7659e22acca6a04935a9b569b4f4e4448afdd840e98389dd4,30000-40000,0.374,1.8,0,0.0,0.4,198,120-180,0.0,Low,58.3,91.0,62.6
dbe85a66ceba14aeb38452f7ea073e3bbc79c5f1812c6ed82a577591cc8b7db6,20000-30000,0.239,1.59,1,1.0,0.0,97,0-60,0.28,Low,13.599999999999998,82.05,76.1
a59a0cb83df8644d21e01f6cae28234ceed043054016c58fa6e6d174696fe28b,20000-30000,0.345,5.23,2,0.0,0.4,58,180-240,0.21,Low,52.4,53.85,65.5
0f21801fe69be5b67a349e88548e3bb40a16eb523875fc7737529c5fb958f501,20000-30000,0.232,7.92,1,1.0,0.01,34,60-120,0.4,Medium,18.3,50.4,76.8
c0719c9c61d0daac06480c44a939c07cfb726a6f7512ff05ccc9e9c5b7ebb83f,10000-20000,0.268,10.07,3,1.0,0.15,233,180-240,0.46,Medium,17.599999999999998,19.65,73.2
06269ff3a5d8d54ce15505685ccc695a45f2e1fd5e61efa0995b9634638a7008,30000-40000,0.081,2.07,1,1.0,0.4,11,0-60,0.13,Low,49.8,79.65,91.9
2bbed5c9425bee837f9cc63ce2171cc7571046ebbb06029ebd85058ffefa6643,30000-40000,0.314,1.58,3,0.0,0.4,193,60-120,0.18,Low,45.7,62.1,68.6
9312211a6eea01460a67cc4e17bd601d151951dc28670b6af88f1da90e95c05d,30000-40000,0.095,3.83,1,0.0,0.4,202,180-240,0.0,Low,53.400000000000006,70.85,90.5
b0d2ae4b3cbb6fa6074a445408a92dbc1e4d8a6a578151e7041ad42ab7678e22,20000-30000,0.339,1.07,0,1.0,0.13,163,180-240,0.01,Low,30.7,94.65,66.10000000000001
fbdf2979d95ae19c8fdc73dbd2a9a15446a744bb11ce068aa5665f185e70f5d6,10000-20000,0.324,3.0,0,1.0,0.24,89,120-180,0.06,Low,37.7,85.0,67.6
5056d79f66c7f9708c6c8e14be6c5eb64dc7a2f59bbf5ca904df4c157c94168e,20000-30000,0.298,1.55,0,1.0,0.01,23,0-60,0.19,Low,22.6,92.25,70.19999999999999
51dc75a371411759784ddc722e4e2ee9829d6b3dd9db97e694b8b90e5cb40084,20000-30000,0.063,2.47,1,1.0,0.0,78,0-60,0.3,Low,14.499999999999998,77.65,93.7
134cd2d86aab6e4cefabba8aaedcca3081afa43d3236b10d86b2c24e9c7bb9a5,20000-30000,0.156,0.76,1,1.0,0.19,143,60-120,0.12,Low,30.0,86.2,84.39999999999999
016a7ce38e6a0cc1586d6318ca9c0b342bafa1d5edec931e7c3475d9ec25328c,20000-30000,0.142,0.58,1,0.0,0.4,128,60-120,0.0,Low,53.400000000000006,87.1,85.8
fdf70975b2fc19836d0eafed3c88c6f9e4e3f931baf907e7a0ba26ffb54661d5,30000-40000,0.176,7.21,2,0.0,0.4,253,120-180,0.12,Low,47.3,43.95,82.4
d6ce27073236f0773f34c49f2c6d48e7f08e65627fa3f7114a2a8a0eb7484920,40000-50000,0.081,0.26,0,1.0,0.02,86,0-60,0.12,Low,21.9,98.7,91.9
3c00c44d8b3011a12925c86ece2011c5401ddbee34797687ef287264c99c1c37,30000-40000,0.378,2.74,0,0.0,0.4,50,180-240,0.0,Low,55.9,86.3,62.2
fe1252186601a631f92092587baaf981fc88dc3e619621c723432c48f1e4358f,30000-40000,0.244,0.8,0,0.0,0.4,80,180-240,0.0,Low,59.2,96.0,75.6
80a69a60462e3154ffaf3eecd28183b1e1e3e55ab8c2aca744c990e555472560,20000-30000,0.157,0.11,3,1.0,0.09,32,0-60,0.48,Medium,16.7,69.45,84.3
1fcd776dcaf54cf0e78237feecd04a4498b34e7d038acc4c70ab875c2b6261dd,10000-20000,0.189,0.11,0,1.0,0.39,287,60-120,0.0,Low,50.9,99.45,81.1
7b39643a4c786c3c8ebdb1254a2181359ae8b0282cb80086c1e6596da1493f90,20000-30000,0.207,0.58,2,1.0,0.0,138,120-180,0.34,Medium,10.8,77.1,79.3
0552aeefbc60ca0befdf1bfabbf2176a7181a2facf1fb7a095ce23afd24f7438,30000-40000,0.26,6.65,1,1.0,0.11,142,180-240,0.23,Low,26.9,56.75,74.0
7384d174ecd34c25267adf8a202919572014595203573e9d97f9c53e2f323b97,20000-30000,0.372,11.6,2,1.0,0.0,284,180-240,0.39,Medium,10.2,22.0,62.8
a91e740ff298de6fe3d4d6ad338a0b2c3039e04a574d8a761704596fffae650c,30000-40000,0.224,2.72,0,1.0,0.4,52,180-240,0.0,Low,54.7,86.4,77.60000000000001
5d8e30225d1eff0f09ba6bf3124108369667520c12d5c105e1546f3c84f48dee,20000-30000,0.397,2.29,2,1.0,0.4,260,60-120,0.05,Low,44.900000000000006,68.55,60.3
ed00b0d2182bc382f16163d5bb34d811a8b30091bcf55e8c5d8273d1b8aaa8b4,10000-20000,0.348,3.25,1,1.0,0.31,272,0-60,0.0,Low,42.9,73.75,65.2
d6c993008ed8e2c667f03d6c2b5b5d1fa7330d2598c20d34aa8de5b1aaf60b49,40000-50000,0.123,1.9,0,0.0,0.4,136,120-180,0.0,Low,59.8,90.5,87.7
47c1623ac1b7259597d7ff4d968d32d4760a73b3b5545a8b31f8f0620e07afde,30000-40000,0.376,5.52,2,1.0,0.25,236,120-180,0.19,Low,33.5,52.400000000000006,62.4
9cf70985766750a1a4700f11399b80b4ad5495dbd4d9be2ebd964d668b1519cb,30000-40000,0.091,0.81,1,0.0,0.4,130,60-120,0.0,Low,54.0,85.95,90.9
3f051c995ffaa67488a734737f2534781d990a5d8fd6007cc15e611c6a5bfe3d,20000-30000,0.336,1.6,0,1.0,0.36,106,60-120,0.0,Low,49.4,92.0,66.39999999999999
6b3b75d374cfd299ba69ed144b129d5da4b1d01919bbdfe05a18b3353dfeda87,40000-50000,0.183,6.55,1,1.0,0.4,256,180-240,0.0,Low,48.6,57.25,81.69999999999999
18c17bd7e7a426321ab4496d5c3a166eb816f9938feea03012b751195c6a06f3,10000-20000,0.357,11.08,2,1.0,0.1,97,60-120,0.48,Medium,19.4,24.6,64.3
1efc03d70f0a447b6788006b89839cd36d779f15b9567ac9e92a30e5d5fbbf5b,30000-40000,0.354,8.41,1,1.0,0.0,219,0-60,0.25,Low,17.8,47.95,64.60000000000001
3b30180b1bb64dcddff7f50c5cc15a8d1ce4c55f9cb9fe60d9932008f75d3bb6,40000-50000,0.332,1.99,0,0.0,0.4,63,0-60,0.0,Low,57.400000000000006,90.05,66.8
0a9fd56157d944f464d0ccc9d6820d8c37df7e1d4cbe0d0805c414c71e5da4e4,20000-30000,0.327,5.51,2,1.0,0.4,270,180-240,0.1,Low,44.3,52.45,67.30000000000001
8a41e4c99ca79e4f65f9da10003851534498bfe13e91523731f33e7bb36323ea,20000-30000,0.157,1.8,3,1.0,0.32,243,120-180,0.21,Low,36.0,61.0,84.3
a8c5c065c5d1fa7d9f033eadec33a6646b0f8c4d42ff1ae3b780c1d4f586c7fd,30000-40000,0.078,1.65,1,0.0,0.4,15,180-240,0.1,Low,53.400000000000006,81.75,92.2
fe9ed3f46b322bbc36ea1174522e67a42ef46fe19402bec29bd6cdbc850d87c8,20000-30000,0.191,0.68,0,1.0,0.05,149,180-240,0.06,Low,24.3,96.6,80.89999999999999
dc75e325e28bbe6397c16b1b83207fbf892deea90b4270c9e8060b71106f69c0,10000-20000,0.111,2.28,0,1.0,0.06,242,120-180,0.0,Low,26.9,88.6,88.9
6a7f0b47489b38a2efe43c100be9f14a6dba0b31d2814c8ee2e7a3d2a0158fd7,30000-40000,0.293,0.71,2,0.0,0.4,91,180-240,0.15,Low,48.5,76.45,70.7
1c3fa65a4b732dc0b8fd8a17612f67f8775aff3b191c4abb2e0f8219f2a1c81f,20000-30000,0.171,1.15,0,1.0,0.4,97,180-240,0.0,Low,52.3,94.25,82.89999999999999
c266fc3cc7ff640f8c04e84a2c599bc8aa0c3a24dc3841f70c9379aadba961d2,30000-40000,0.391,7.64,2,0.0,0.4,295,60-120,0.07,Low,50.6,41.8,60.9
343d1cbb053f2668dec05a3f39adb5c629ba3f369e60554e4ce66d076e457093,20000-30000,0.274,0.78,1,1.0,0.26,27,0-60,0.19,Low,35.0,86.1,72.6
d5b98a6050eece4def1794eec116f935af9b8bab1b80cd9c920f01b588ab9e76,40000-50000,0.338,0.27,3,0.0,0.4,274,60-120,0.1,Low,46.0,68.65,66.19999999999999
dc39c755c8826af7a29c106bb9a25a8af5bd45f8396418c46e0b43d4a707fc61,20000-30000,0.096,0.18,2,1.0,0.0,168,0-60,0.32,Low,9.299999999999995,79.1,90.4
d8b4871b7154a46ab9fc059866d0de58066640bf8820e3b2b05f6e5d5c366c6a,20000-30000,0.352,10.62,2,1.0,0.05,252,0-60,0.36,Medium,16.9,26.90000000000001,64.8
8aeb70d2c1b1d60124e1930d50bae32b623166a30d3b58aa03fa292e7b43a41c,30000-40000,0.373,2.73,0,1.0,0.26,89,60-120,0.01,Low,44.7,86.35,62.7
1ad9c8944477036d4cc0797288828352b5e2e7fa66b42585cf7ab0b53f5587d7,10000-20000,0.22,1.63,0,1.0,0.25,144,0-60,0.0,Low,39.7,91.85,78.0
41c8e19664f82dadfdf962b9ff36d76c697443654306135a588c5165a795fe89,30000-40000,0.262,5.51,3,1.0,0.08,136,120-180,0.51,Medium,11.1,42.45,73.8
2e11fe205879a5d88234680848e81ae43131bc41ccbb439ac35900daf50f2d0e,40000-50000,0.318,6.48,1,1.0,0.25,281,180-240,0.06,Low,36.3,57.6,68.19999999999999
e39f1d0fd45d1ec963b1ef05343c6347d3fec91fef65d3572e6b13038b204fba,10000-20000,0.111,1.03,1,0.0,0.4,128,180-240,0.0,Low,52.8,84.85,88.9
b5bbf67d703cbe3d211bbaffe3ae48be7e5c20c1257d62a5765b6abbca922547,30000-40000,0.226,3.7,1,1.0,0.36,143,60-120,0.07,Low,46.0,71.5,77.4
e6df773f964bcea0cdd0843b0285eac6a24172dc6343fc8212037d1e447dea7f,30000-40000,0.19,4.35,1,1.0,0.02,105,120-180,0.29,Low,17.900000000000002,68.25,81.0
42023bc79b91f4967ebe68c5266080d42d4b60d2e28774e4fec9cf74e6ac05f1,30000-40000,0.101,2.66,0,1.0,0.13,228,60-120,0.0,Low,31.9,86.7,89.9
ac5cebcb81ab3e9108dd53ba2ae6e20e465551b8b616bc93de5fadf16b589e6a,10000-20000,0.179,0.48,0,1.0,0.05,65,180-240,0.1,Low,27.9,97.6,82.1
01537a181a64ddd511a6ec8dfeb5513257b512d3446764de54fad43d6039447c,10000-20000,0.074,4.94,1,1.0,0.0,296,180-240,0.15,Low,16.3,65.3,92.6
